"status","frontend_method","frontend_endpoint","backend_method","backend_endpoint","backend_controller","backend_action","frontend_files"
"matched","DELETE","/api/categorias/{id}","DELETE","/api/Categorias/{id:guid}","CategoriasController","DeleteAsync","Facturacion.Frontend/Pages/Categorias.cshtml.cs:174"
"matched","DELETE","/api/clientes/{id}","DELETE","/api/Clientes/{id:guid}","ClientesController","DeleteAsync","Facturacion.Frontend/Pages/Clientes.cshtml.cs:152"
"matched","DELETE","/api/consecutivos/{id}","DELETE","/api/Consecutivos/{id:guid}","ConsecutivosController","DeleteAsync","Facturacion.Frontend/Pages/Empresas.cshtml.cs:730"
"matched","DELETE","/api/Documentos/{id}","DELETE","/api/Documentos/{id:guid}","DocumentosController","DeleteAsync","Facturacion.Frontend/Pages/DocumentoDetalle.cshtml.cs:93; Facturacion.Frontend/Pages/Documentos.cshtml.cs:249"
"matched","DELETE","/api/empresas/{id}","DELETE","/api/Empresas/{id:guid}","EmpresasController","DeleteAsync","Facturacion.Frontend/Pages/Empresas.cshtml.cs:326"
"matched","DELETE","/api/gastos/{id}","DELETE","/api/Gastos/{id:guid}","GastosController","DeleteAsync","Facturacion.Frontend/Pages/Gasto.cshtml.cs:163"
"matched","DELETE","/api/Inventarios/{id}","DELETE","/api/Inventarios/{id:guid}","InventariosController","DeleteAsync","Facturacion.Frontend/Pages/Inventario.cshtml.cs:368"
"matched","DELETE","/api/productos/{id}","DELETE","/api/Productos/{id:guid}","ProductosController","DeleteAsync","Facturacion.Frontend/Pages/Productos.cshtml.cs:172"
"matched","DELETE","/api/proveedores/{id}","DELETE","/api/Proveedores/{id:guid}","ProveedoresController","DeleteAsync","Facturacion.Frontend/Pages/Proveedores.cshtml.cs:142"
"matched","DELETE","/api/roles/{id}","DELETE","/api/Roles/{id}","RolesController","DeleteAsync","Facturacion.Frontend/Pages/Roles.cshtml.cs:243"
"matched","DELETE","/api/sucursales/{id}","DELETE","/api/Sucursales/{id:guid}","SucursalesController","DeleteAsync","Facturacion.Frontend/Pages/Empresas.cshtml.cs:460; Facturacion.Frontend/Pages/Sucursales.cshtml.cs:195"
"matched","DELETE","/api/terminales/{id}","DELETE","/api/Terminales/{id:guid}","TerminalesController","DeleteAsync","Facturacion.Frontend/Pages/Empresas.cshtml.cs:604; Facturacion.Frontend/Pages/Terminales.cshtml.cs:211"
"matched","DELETE","/api/usuarios/{id}","DELETE","/api/Usuarios/{id}","UsuariosController","DeleteAsync","Facturacion.Frontend/Pages/Usuarios.cshtml.cs:243"
"matched","GET","/api/accounts/user-companies","GET","/api/Accounts/user-companies","AccountsController","GetUserCompaniesAsync","Facturacion.Frontend/Pages/Shared/CompanySelector.cshtml.cs:50"
"matched","GET","/api/cabys/{codigo}","GET","/api/Cabys/{codigo}","CabysController","GetAsync","Facturacion.Frontend/Pages/MantenimientoCabys.cshtml.cs:100"
"matched","GET","/api/catalogos/cantones/{provinciaId}","GET","/api/Catalogos/cantones/{provinciaId:int}","CatalogosController","GetCantonesByProvinciaAsync","Facturacion.Frontend/Pages/Clientes.cshtml.cs:197; Facturacion.Frontend/Pages/Empresas.cshtml.cs:140; Facturacion.Frontend/Pages/Facturacion.cshtml.cs:318; Facturacion.Frontend/Pages/Proveedores.cshtml.cs:187"
"matched","GET","/api/catalogos/condiciones-venta","GET","/api/Catalogos/condiciones-venta","CatalogosController","GetCondicionesVenta","Facturacion.Frontend/Pages/CondicionesVenta.cshtml.cs:42"
"matched","GET","/api/catalogos/distritos/{provinciaId}/{cantonId}","GET","/api/Catalogos/distritos/{provinciaId:int}/{cantonId:int}","CatalogosController","GetDistritosByCantonAsync","Facturacion.Frontend/Pages/Clientes.cshtml.cs:220; Facturacion.Frontend/Pages/Empresas.cshtml.cs:163; Facturacion.Frontend/Pages/Facturacion.cshtml.cs:360; Facturacion.Frontend/Pages/Proveedores.cshtml.cs:210"
"matched","GET","/api/catalogos/impuestos","GET","/api/Catalogos/impuestos","CatalogosController","GetImpuestos","Facturacion.Frontend/Pages/ImpuestosPage.cshtml.cs:42; Facturacion.Frontend/Pages/Productos.cshtml.cs:271"
"matched","GET","/api/catalogos/provincias","GET","/api/Catalogos/provincias","CatalogosController","GetProvinciasAsync","Facturacion.Frontend/Pages/Clientes.cshtml.cs:174; Facturacion.Frontend/Pages/Empresas.cshtml.cs:775; Facturacion.Frontend/Pages/Facturacion.cshtml.cs:275; Facturacion.Frontend/Pages/Proveedores.cshtml.cs:164"
"matched","GET","/api/catalogos/unidades-medida","GET","/api/Catalogos/unidades-medida","CatalogosController","GetUnidadesMedida","Facturacion.Frontend/Pages/Productos.cshtml.cs:240; Facturacion.Frontend/Pages/UnidadesMedidaPage.cshtml.cs:42"
"matched","GET","/api/categorias/{id}","GET","/api/Categorias/{id:guid}","CategoriasController","GetAsync","Facturacion.Frontend/Pages/Categorias.cshtml.cs:80"
"matched","GET","/api/categorias/empresa/{empresaId}","GET","/api/Categorias/empresa/{empresaId:guid}","CategoriasController","GetByEmpresaAsync","Facturacion.Frontend/Pages/Productos.cshtml.cs:209"
"matched","GET","/api/Clientes/{clienteId}","GET","/api/Clientes/{id:guid}","ClientesController","GetAsync","Facturacion.Frontend/Pages/Documentos.cshtml.cs:457"
"matched","GET","/api/clientes/{id}","GET","/api/Clientes/{id:guid}","ClientesController","GetAsync","Facturacion.Frontend/Pages/Clientes.cshtml.cs:77; Facturacion.Frontend/Pages/Facturacion.cshtml.cs:89"
"matched","GET","/api/clientes/empresa/{empresaId}","GET","/api/Clientes/empresa/{empresaId:guid}","ClientesController","GetByEmpresaAsync","Facturacion.Frontend/Pages/Clientes.cshtml.cs:55; Facturacion.Frontend/Pages/Documentos.cshtml.cs:152; Facturacion.Frontend/Pages/Facturacion.cshtml.cs:58"
"matched","GET","/api/consecutivos/empresa/{empresaId}","GET","/api/Consecutivos/empresa/{empresaId:guid}","ConsecutivosController","GetByEmpresaAsync","Facturacion.Frontend/Pages/Empresas.cshtml.cs:638"
